# File created by shivutils (I.Shivvers)
# wl(A)   flm(10^-15 erg/s/cm2/AA)    er(optional)
4134.00   0.47979227   0.02272494
4136.00   0.41391331   0.02237764
4138.00   0.38760057   0.02254348
4140.00   0.40264985   0.02248276
4142.00   0.37752044   0.02173316
4144.00   0.41535500   0.02194234
4146.00   0.36109805   0.02186373
4148.00   0.36351770   0.02163554
4150.00   0.38560951   0.02171303
4152.00   0.40046242   0.02197090
4154.00   0.41935545   0.02207919
4156.00   0.40771398   0.02198869
4158.00   0.42748073   0.02201613
4160.00   0.41281980   0.02205013
4162.00   0.40490329   0.02231956
4164.00   0.33121005   0.02223669
4166.00   0.34868029   0.02200185
4168.00   0.39486635   0.02197367
4170.00   0.38385209   0.02188127
4172.00   0.37863895   0.02149099
4174.00   0.37165126   0.02111956
4176.00   0.32336637   0.02099572
4178.00   0.37134370   0.02090679
4180.00   0.36510500   0.02079164
4182.00   0.36886477   0.02087992
4184.00   0.34373400   0.02038873
4186.00   0.34676304   0.02050541
4188.00   0.36777267   0.02032659
4190.00   0.34201640   0.02029369
4192.00   0.34357843   0.02020579
4194.00   0.33418858   0.01987305
4196.00   0.37433666   0.01984099
4198.00   0.29984954   0.01937506
4200.00   0.31326839   0.01943705
4202.00   0.33479548   0.01928707
4204.00   0.32740936   0.01966050
4206.00   0.32107124   0.01992179
4208.00   0.35231775   0.02023302
4210.00   0.35308555   0.02010327
4212.00   0.32620338   0.01984399
4214.00   0.33942872   0.01984147
4216.00   0.34692532   0.01937317
4218.00   0.31588793   0.01896141
4220.00   0.30433580   0.01872956
4222.00   0.25583291   0.01831432
4224.00   0.33491004   0.01868179
4226.00   0.32475311   0.01841017
4228.00   0.31874484   0.01865679
4230.00   0.29915679   0.01858846
4232.00   0.35212120   0.01882261
4234.00   0.30493575   0.01899760
4236.00   0.31301373   0.01886747
4238.00   0.30491939   0.01884606
4240.00   0.30209208   0.01865472
4242.00   0.28106079   0.01852139
4244.00   0.25734347   0.01880589
4246.00   0.28555083   0.01928408
4248.00   0.30342439   0.01899727
4250.00   0.33590844   0.01896569
4252.00   0.32237458   0.01895878
4254.00   0.27892599   0.01879267
4256.00   0.32448608   0.01875641
4258.00   0.27885860   0.01835088
4260.00   0.30714077   0.01844789
4262.00   0.29885751   0.01852430
4264.00   0.25524369   0.01877569
4266.00   0.27658471   0.01859206
4268.00   0.24000385   0.01823060
4270.00   0.26207516   0.01789735
4272.00   0.29697093   0.01803083
4274.00   0.29823160   0.01809830
4276.00   0.30516535   0.01847005
4278.00   0.29127499   0.01831889
4280.00   0.26160225   0.01776414
4282.00   0.29139364   0.01791313
4284.00   0.27778912   0.01799943
4286.00   0.29754326   0.01773171
4288.00   0.25373778   0.01742205
4290.00   0.24131274   0.01741992
4292.00   0.25582957   0.01758943
4294.00   0.24338070   0.01757879
4296.00   0.23982991   0.01726922
4298.00   0.22754265   0.01687952
4300.00   0.26934448   0.01677731
4302.00   0.29661298   0.01696439
4304.00   0.28941742   0.01692041
4306.00   0.23180816   0.01675826
4308.00   0.25804093   0.01702201
4310.00   0.25561941   0.01681802
4312.00   0.26202404   0.01738751
4314.00   0.29553151   0.01805932
4316.00   0.25761655   0.01798419
4318.00   0.25294128   0.01797299
4320.00   0.24267416   0.01794737
4322.00   0.25507829   0.01768122
4324.00   0.27314851   0.01723515
4326.00   0.26793432   0.01728269
4328.00   0.25615221   0.01721735
4330.00   0.26393020   0.01744186
4332.00   0.26024011   0.01739198
4334.00   0.24399440   0.01732561
4336.00   0.27971655   0.01728529
4338.00   0.28594026   0.01718678
4340.00   0.28387672   0.01704021
4342.00   0.28417030   0.01717575
4344.00   0.25780627   0.01735371
4346.00   0.23435777   0.01746347
4348.00   0.24688448   0.01760128
4350.00   0.25001678   0.01726026
4352.00   0.30574086   0.01736476
4354.00   0.30587423   0.01791759
4356.00   0.26896814   0.02134959
4358.00   0.28604412   0.02327190
4360.00   0.31500554   0.02178665
4362.00   0.26389489   0.01881517
4364.00   0.28757903   0.01783367
4366.00   0.29553148   0.01775924
4368.00   0.28448245   0.01737945
4370.00   0.30329114   0.01754981
4372.00   0.30981413   0.01751274
4374.00   0.25024948   0.01761862
4376.00   0.30302921   0.01752976
4378.00   0.25978431   0.01713491
4380.00   0.22239646   0.01696938
4382.00   0.31513891   0.01705262
4384.00   0.26567343   0.01654499
4386.00   0.28816339   0.01686223
4388.00   0.27002487   0.01698202
4390.00   0.29374164   0.01689980
4392.00   0.26543239   0.01668987
4394.00   0.27760279   0.01691920
4396.00   0.29500636   0.01712405
4398.00   0.24821270   0.01683023
4400.00   0.28404206   0.01685188
4402.00   0.30817702   0.01718901
4404.00   0.29429111   0.01708712
4406.00   0.29730612   0.01719512
4408.00   0.27332965   0.01714798
4410.00   0.29947674   0.01754042
4412.00   0.28485051   0.01753535
4414.00   0.26332381   0.01732460
4416.00   0.28570715   0.01731076
4418.00   0.28477260   0.01725942
4420.00   0.32407057   0.01734569
4422.00   0.33566722   0.01746943
4424.00   0.29679406   0.01726194
4426.00   0.27884293   0.01702624
4428.00   0.28810817   0.01693887
4430.00   0.30856472   0.01698294
4432.00   0.29231864   0.01665254
4434.00   0.26765367   0.01642448
4436.00   0.29274768   0.01662412
4438.00   0.27835554   0.01667385
4440.00   0.29280823   0.01646813
4442.00   0.27358067   0.01643786
4444.00   0.31212646   0.01674730
4446.00   0.27734819   0.01649421
4448.00   0.29719990   0.01667103
4450.00   0.30136776   0.01663330
4452.00   0.28661531   0.01648533
4454.00   0.32400534   0.01636137
4456.00   0.32220620   0.01629234
4458.00   0.29157633   0.01610325
4460.00   0.26424268   0.01609896
4462.00   0.31478566   0.01625089
4464.00   0.29430339   0.01613752
4466.00   0.27169654   0.01609510
4468.00   0.25532991   0.01582617
4470.00   0.33372849   0.01635307
4472.00   0.29905325   0.01642740
4474.00   0.29737213   0.01636115
4476.00   0.29109859   0.01599174
4478.00   0.26731652   0.01588866
4480.00   0.26991743   0.01564694
4482.00   0.24954057   0.01571635
4484.00   0.29050839   0.01592619
4486.00   0.26134977   0.01604802
4488.00   0.27533212   0.01601139
4490.00   0.30575556   0.01608704
4492.00   0.26114792   0.01595185
4494.00   0.33575785   0.01641317
4496.00   0.27263895   0.01616191
4498.00   0.25882268   0.01613490
4500.00   0.26468933   0.01608996
4502.00   0.26028690   0.01608326
4504.00   0.25746202   0.01601421
4506.00   0.28256744   0.01605782
4508.00   0.26523736   0.01584557
4510.00   0.26053983   0.01596655
4512.00   0.26364174   0.01586146
4514.00   0.23360316   0.01560494
4516.00   0.26496965   0.01556880
4518.00   0.26571479   0.01557644
4520.00   0.24935198   0.01539461
4522.00   0.23466215   0.01539273
4524.00   0.24732290   0.01561729
4526.00   0.25602031   0.01548362
4528.00   0.27100208   0.01545802
4530.00   0.24135172   0.01514143
4532.00   0.24556546   0.01547621
4534.00   0.28243178   0.01551871
4536.00   0.28061569   0.01574623
4538.00   0.29946426   0.01570527
4540.00   0.25884572   0.01561312
4542.00   0.24587752   0.01535022
4544.00   0.23871614   0.01546092
4546.00   0.22349408   0.01532903
4548.00   0.22766386   0.01516743
4550.00   0.21793205   0.01498895
4552.00   0.22296885   0.01511962
4554.00   0.24283601   0.01519081
4556.00   0.25162265   0.01518461
4558.00   0.21452524   0.01509221
4560.00   0.22602601   0.01497209
