# File created by shivutils (I.Shivvers)
# wl(A)   flm(10^-15 erg/s/cm2/AA)    er(optional)
4202.00   0.10057423   0.00666018
4204.00   0.11133025   0.00674159
4206.00   0.09828120   0.00672482
4208.00   0.09766461   0.00671889
4210.00   0.11788698   0.00685102
4212.00   0.11148370   0.00679065
4214.00   0.08768047   0.00657206
4216.00   0.09582360   0.00657125
4218.00   0.09430353   0.00650753
4220.00   0.08790227   0.00638751
4222.00   0.09171123   0.00626246
4224.00   0.11287275   0.00637570
4226.00   0.10823653   0.00645718
4228.00   0.09107959   0.00630302
4230.00   0.08665752   0.00629876
4232.00   0.08184089   0.00628918
4234.00   0.08543548   0.00642459
4236.00   0.08970545   0.00653420
4238.00   0.09695130   0.00659732
4240.00   0.09581315   0.00664974
4242.00   0.09981725   0.00655891
4244.00   0.09856421   0.00678546
4246.00   0.09341592   0.00714596
4248.00   0.07553482   0.00708183
4250.00   0.08638900   0.00672157
4252.00   0.09772751   0.00653915
4254.00   0.09669982   0.00660482
4256.00   0.09436211   0.00653111
4258.00   0.09234308   0.00656582
4260.00   0.08693294   0.00650893
4262.00   0.09965041   0.00653842
4264.00   0.09592035   0.00652126
4266.00   0.10659377   0.00660312
4268.00   0.08532016   0.00648006
4270.00   0.08615837   0.00643546
4272.00   0.08089790   0.00646312
4274.00   0.09277504   0.00650857
4276.00   0.09978343   0.00653563
4278.00   0.07888663   0.00649243
4280.00   0.08859280   0.00650438
4282.00   0.09829829   0.00654505
4284.00   0.08690293   0.00651561
4286.00   0.09106375   0.00647736
4288.00   0.07896140   0.00635821
4290.00   0.07823370   0.00649475
4292.00   0.09137796   0.00652026
4294.00   0.07680738   0.00654708
4296.00   0.07197621   0.00645977
4298.00   0.08733921   0.00644721
4300.00   0.08448409   0.00631684
4302.00   0.08452434   0.00631738
4304.00   0.07799342   0.00631589
4306.00   0.09126489   0.00642912
4308.00   0.08894748   0.00640770
4310.00   0.08216844   0.00648312
4312.00   0.09375282   0.00674442
4314.00   0.07828389   0.00679412
4316.00   0.09443439   0.00676698
4318.00   0.08666516   0.00675818
4320.00   0.09895145   0.00685642
4322.00   0.09453863   0.00679037
4324.00   0.09154018   0.00667802
4326.00   0.09084827   0.00657371
4328.00   0.07811861   0.00649017
4330.00   0.08840212   0.00650367
4332.00   0.08411887   0.00646344
4334.00   0.08361347   0.00648802
4336.00   0.06283823   0.00652250
4338.00   0.09231496   0.00673766
4340.00   0.10218137   0.00674244
4342.00   0.11175193   0.00670040
4344.00   0.09863434   0.00676593
4346.00   0.09322157   0.00696214
4348.00   0.11248465   0.00708646
4350.00   0.08257703   0.00689109
4352.00   0.10400190   0.00682297
4354.00   0.07905623   0.00717651
4356.00   0.09772918   0.01083317
4358.00   0.09585035   0.01316951
4360.00   0.08366369   0.01179960
4362.00   0.09735109   0.00850271
4364.00   0.07961450   0.00712899
4366.00   0.08326319   0.00692630
4368.00   0.09359729   0.00690810
4370.00   0.09127008   0.00688574
4372.00   0.08692790   0.00693051
4374.00   0.09976847   0.00711550
4376.00   0.09391119   0.00697487
4378.00   0.09423663   0.00675454
4380.00   0.09450720   0.00670220
4382.00   0.09226189   0.00666815
4384.00   0.09664655   0.00662918
4386.00   0.09834530   0.00663068
4388.00   0.10209353   0.00665499
4390.00   0.09720519   0.00666578
4392.00   0.08745869   0.00663615
4394.00   0.09019969   0.00672736
4396.00   0.08486073   0.00661594
4398.00   0.08830088   0.00676231
4400.00   0.09266242   0.00677771
4402.00   0.07838964   0.00666967
4404.00   0.08620460   0.00657268
4406.00   0.08248602   0.00661463
4408.00   0.10548993   0.00675163
4410.00   0.09240342   0.00670578
4412.00   0.08074708   0.00671788
4414.00   0.10529902   0.00680888
4416.00   0.09143354   0.00677306
4418.00   0.08654806   0.00664887
4420.00   0.09330671   0.00665381
4422.00   0.07302486   0.00655681
4424.00   0.08316900   0.00661027
4426.00   0.09046986   0.00663085
4428.00   0.09764672   0.00658397
4430.00   0.08611083   0.00652598
4432.00   0.08597619   0.00646212
4434.00   0.09327327   0.00650252
4436.00   0.08841226   0.00648932
4438.00   0.09480997   0.00653550
4440.00   0.08828682   0.00649865
4442.00   0.09749223   0.00656230
4444.00   0.07989711   0.00647253
4446.00   0.08497960   0.00656708
4448.00   0.10135973   0.00662944
4450.00   0.08361464   0.00657167
4452.00   0.09087683   0.00655090
4454.00   0.10309930   0.00652389
4456.00   0.09513267   0.00643662
4458.00   0.09530132   0.00644577
4460.00   0.09631277   0.00648232
4462.00   0.09771936   0.00643251
4464.00   0.08133344   0.00637691
4466.00   0.08088632   0.00634646
4468.00   0.08491024   0.00628089
4470.00   0.10937658   0.00645573
4472.00   0.13603817   0.00675314
4474.00   0.10708317   0.00655108
4476.00   0.09981418   0.00638002
4478.00   0.09311686   0.00623348
4480.00   0.07963801   0.00623776
4482.00   0.07065553   0.00623844
4484.00   0.09898294   0.00634040
4486.00   0.08182251   0.00629381
4488.00   0.07475010   0.00633662
4490.00   0.10514240   0.00644993
4492.00   0.08978236   0.00644498
4494.00   0.09754072   0.00649167
4496.00   0.10577646   0.00653921
4498.00   0.09424058   0.00647124
4500.00   0.08719558   0.00642473
4502.00   0.08715199   0.00637555
4504.00   0.10109077   0.00639990
4506.00   0.09969626   0.00635569
4508.00   0.07647618   0.00625926
4510.00   0.10373114   0.00629344
4512.00   0.09683613   0.00628952
4514.00   0.08688455   0.00620834
4516.00   0.09890044   0.00619265
4518.00   0.09459499   0.00609637
4520.00   0.09861711   0.00614931
4522.00   0.07702043   0.00605670
4524.00   0.08867470   0.00610010
4526.00   0.10391997   0.00611546
4528.00   0.09001259   0.00610343
4530.00   0.08044206   0.00601497
4532.00   0.09121966   0.00612347
4534.00   0.09210581   0.00607775
4536.00   0.08018683   0.00603718
4538.00   0.08072627   0.00595101
4540.00   0.09065207   0.00600677
4542.00   0.08341560   0.00601522
4544.00   0.08431724   0.00603503
4546.00   0.09781749   0.00605180
4548.00   0.08959644   0.00599440
4550.00   0.08415765   0.00588503
4552.00   0.09476902   0.00588037
4554.00   0.08292519   0.00585488
4556.00   0.08476905   0.00589606
4558.00   0.07936900   0.00586346
4560.00   0.08062670   0.00580377
4562.00   0.08089952   0.00580402
4564.00   0.08815013   0.00581717
4566.00   0.07684702   0.00576992
4568.00   0.09661970   0.00576014
4570.00   0.09872343   0.00574986
4572.00   0.08683109   0.00574748
4574.00   0.09535952   0.00583880
4576.00   0.09308236   0.00578318
4578.00   0.09497444   0.00574628
4580.00   0.08273108   0.00562843
4582.00   0.09628975   0.00569641
4584.00   0.09943190   0.00568729
4586.00   0.10335675   0.00568151
4588.00   0.09698547   0.00566868
4590.00   0.08036931   0.00555991
4592.00   0.09066831   0.00562434
4594.00   0.09281863   0.00562254
4596.00   0.08587080   0.00552306
4598.00   0.09045865   0.00553777
4600.00   0.08862608   0.00552427
4602.00   0.10145765   0.00567758
4604.00   0.09978703   0.00572282
4606.00   0.11079549   0.00562075
4608.00   0.08123280   0.00550840
4610.00   0.10445502   0.00564838
4612.00   0.10038981   0.00563529
4614.00   0.09343457   0.00555910
4616.00   0.10643609   0.00552326
4618.00   0.10581923   0.00548284
4620.00   0.10876947   0.00552096
4622.00   0.09915716   0.00549359
4624.00   0.10083787   0.00554874
4626.00   0.09292764   0.00552521
4628.00   0.10613581   0.00553857
4630.00   0.09681797   0.00556253
4632.00   0.10766019   0.00553558
4634.00   0.09970076   0.00550456
4636.00   0.10722330   0.00554196
4638.00   0.10842968   0.00555006
4640.00   0.10190833   0.00552127
4642.00   0.11075561   0.00556338
4644.00   0.11045966   0.00555287
4646.00   0.11023270   0.00557753
4648.00   0.10694855   0.00553048
4650.00   0.11588122   0.00557968
4652.00   0.10538491   0.00554499
4654.00   0.11785161   0.00560391
4656.00   0.11630574   0.00557749
4658.00   0.11499964   0.00560316
4660.00   0.12133289   0.00564676
4662.00   0.12162416   0.00563373
4664.00   0.12241957   0.00571963
4666.00   0.11839031   0.00569738
4668.00   0.11052850   0.00573814
4670.00   0.11881742   0.00580213
4672.00   0.11665722   0.00574505
4674.00   0.11607280   0.00566316
4676.00   0.11494683   0.00566226
4678.00   0.11108523   0.00565789
4680.00   0.11171129   0.00563471
4682.00   0.11401505   0.00558666
4684.00   0.12267313   0.00559041
4686.00   0.12837377   0.00554613
4688.00   0.11142528   0.00545478
4690.00   0.12394385   0.00547333
4692.00   0.13695881   0.00555669
4694.00   0.12281079   0.00549376
4696.00   0.12609483   0.00548291
4698.00   0.12464255   0.00548564
4700.00   0.13074237   0.00551878
4702.00   0.12486538   0.00546045
4704.00   0.12930967   0.00550415
4706.00   0.12128875   0.00554149
4708.00   0.10985650   0.00555189
4710.00   0.13038458   0.00559294
4712.00   0.12602058   0.00552713
4714.00   0.13342486   0.00554469
4716.00   0.12604675   0.00549208
4718.00   0.13147138   0.00550804
4720.00   0.12738621   0.00544703
4722.00   0.12111408   0.00544071
4724.00   0.12599668   0.00543776
4726.00   0.13716041   0.00553805
4728.00   0.12552729   0.00562088
4730.00   0.11357312   0.00562547
4732.00   0.11560534   0.00561135
4734.00   0.11589196   0.00566841
4736.00   0.12837437   0.00572816
4738.00   0.13629569   0.00582534
