% File created by shivutils (I.Shivvers)
% wl(A)   flm    er(optional)
4276.00   3.74320126   0.06190317
4278.00   3.74474931   0.06186572
4280.00   3.73560047   0.06131333
4282.00   3.80032682   0.06152713
4284.00   3.76425362   0.06115695
4286.00   3.69715834   0.06059222
4288.00   3.74903870   0.06055867
4290.00   3.79919720   0.06091877
4292.00   3.82510448   0.06120551
4294.00   3.78962040   0.06091000
4296.00   3.78138399   0.06061221
4298.00   3.71109605   0.05973130
4300.00   3.74271536   0.05952166
4302.00   3.73081422   0.05960460
4304.00   3.74527025   0.05970890
4306.00   3.70601034   0.05949682
4308.00   3.73963165   0.05968751
4310.00   3.76883936   0.06034955
4312.00   3.74135041   0.06154131
4314.00   3.71939993   0.06196265
4316.00   3.64768195   0.06130396
4318.00   3.75117898   0.06208643
4320.00   3.71883249   0.06200467
4322.00   3.73833799   0.06133135
4324.00   3.73078060   0.06079538
4326.00   3.61048746   0.06023394
4328.00   3.59295630   0.06009877
4330.00   3.61544824   0.06018501
4332.00   3.56747913   0.05996840
4334.00   3.55762148   0.05961858
4336.00   3.52279568   0.05924591
4338.00   3.46790838   0.05869119
4340.00   3.50655961   0.05894118
4342.00   3.48203993   0.05910551
4344.00   3.55453539   0.06031368
4346.00   3.52551126   0.06055915
4348.00   3.51401687   0.06035651
4350.00   3.52575755   0.05979481
4352.00   3.47185826   0.05938868
4354.00   3.48273516   0.06583474
4356.00   3.44463205   0.07948418
4358.00   3.50264740   0.08238083
4360.00   3.43763733   0.07045887
4362.00   3.40119720   0.06215973
4364.00   3.45259261   0.06050181
4366.00   3.46747708   0.06002998
4368.00   3.46675992   0.05974741
4370.00   3.46885228   0.05967959
4372.00   3.40993071   0.05965590
4374.00   3.41427374   0.05967970
4376.00   3.51056743   0.05954248
4378.00   3.40902400   0.05863268
4380.00   3.46645331   0.05852418
4382.00   3.47505832   0.05775047
4384.00   3.42208576   0.05724778
4386.00   3.41652822   0.05731850
4388.00   3.45832634   0.05744077
4390.00   3.41563964   0.05721965
4392.00   3.44511366   0.05731809
4394.00   3.37301445   0.05686240
4396.00   3.41911221   0.05721043
4398.00   3.43242383   0.05760905
4400.00   3.41290236   0.05762282
4402.00   3.38478923   0.05694915
4404.00   3.44530773   0.05678263
4406.00   3.42257810   0.05679693
4408.00   3.38705492   0.05683768
4410.00   3.44976521   0.05733056
4412.00   3.39594555   0.05720557
4414.00   3.37536287   0.05708341
4416.00   3.38830590   0.05713235
4418.00   3.40552735   0.05694280
4420.00   3.39864349   0.05672890
4422.00   3.42297101   0.05664197
4424.00   3.43062782   0.05677715
4426.00   3.44130087   0.05690080
4428.00   3.41377187   0.05655285
4430.00   3.50909066   0.05690534
4432.00   3.44177508   0.05654746
4434.00   3.44840670   0.05642234
4436.00   3.51419783   0.05689738
4438.00   3.51433420   0.05704151
4440.00   3.46158528   0.05673397
4442.00   3.52342105   0.05682100
4444.00   3.56636000   0.05698229
4446.00   3.51296449   0.05685519
4448.00   3.53122282   0.05675687
4450.00   3.63084149   0.05738162
4452.00   3.59858274   0.05706210
4454.00   3.60437942   0.05689308
4456.00   3.72841930   0.05725164
4458.00   3.68745136   0.05714495
4460.00   3.69214034   0.05723338
4462.00   3.63005567   0.05702937
4464.00   3.61079645   0.05706772
4466.00   3.67594528   0.05713900
4468.00   3.62291980   0.05673169
4470.00   3.74679208   0.05741017
4472.00   3.65155172   0.05726233
4474.00   3.72844481   0.05732315
4476.00   3.71665812   0.05693908
4478.00   3.74961638   0.05674583
4480.00   3.75085878   0.05665557
4482.00   3.73712635   0.05658216
4484.00   3.72728109   0.05667088
4486.00   3.75676513   0.05701353
4488.00   3.74317169   0.05685751
4490.00   3.78055549   0.05698498
4492.00   3.83931160   0.05741537
4494.00   3.84616947   0.05835198
4496.00   3.81340170   0.05735163
4498.00   3.78489089   0.05710196
4500.00   3.74250221   0.05667067
4502.00   3.72775316   0.05661905
4504.00   3.76646805   0.05673014
4506.00   3.76380563   0.05649018
4508.00   3.72088790   0.05617566
4510.00   3.65958643   0.05588067
4512.00   3.65611148   0.05583289
4514.00   3.67844462   0.05570722
4516.00   3.66085839   0.05556109
4518.00   3.59574318   0.05520722
4520.00   3.55963421   0.05484622
4522.00   3.60404158   0.05480732
4524.00   3.60841012   0.05463053
4526.00   3.57330775   0.05430536
4528.00   3.56057906   0.05429225
4530.00   3.53537679   0.05413368
4532.00   3.53455758   0.05399007
4534.00   3.50099397   0.05388781
4536.00   3.39421606   0.05343585
4538.00   3.42033935   0.05350196
4540.00   3.44368792   0.05365851
4542.00   3.35420728   0.05341063
4544.00   3.38939595   0.05325988
4546.00   3.31125045   0.05260664
4548.00   3.30730915   0.05252277
4550.00   3.25312614   0.05195865
4552.00   3.27429271   0.05197406
4554.00   3.23344088   0.05194964
4556.00   3.19538450   0.05167380
4558.00   3.26226735   0.05192648
4560.00   3.19719195   0.05152310
4562.00   3.25683427   0.05148003
4564.00   3.20275402   0.05104681
4566.00   3.21856666   0.05107585
4568.00   3.24993944   0.05119033
4570.00   3.10966539   0.05034671
4572.00   3.21936870   0.05089607
4574.00   3.20224524   0.05070956
4576.00   3.19133973   0.05045092
4578.00   3.14891100   0.05004904
4580.00   3.20246458   0.05003121
4582.00   3.25682616   0.05019223
4584.00   3.22867012   0.05011837
4586.00   3.29019642   0.05049434
4588.00   3.25598931   0.05054544
4590.00   3.27739048   0.05067219
4592.00   3.23941755   0.05049436
4594.00   3.32906675   0.05096366
4596.00   3.33012176   0.05103601
