SN_name,spectra_file,obs_date,dereddening,smoothing,source,frame
2017egm,2017egm_2458046.047_Lick-3m_KAST_None.txt,2458046.047,No,No,2023arXiv230303424Z,Unknown
2017egm,2017egm_2017-06-07_23-31-12_NOT_ALFOSC_None.txt,2457912.48,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2018-01-26_MMT_MMT-Blue_None.txt,2458144.5,No,No,2018arXiv180800510N,Unknown
2017egm,2017egm_2017-05-30_21-50-24_NOT_ALFOSC_None.txt,2457904.41,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2017-06-25_04-24-10_Lick-3m_KAST_None.txt,2457929.6834491,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2458013.00_P200_DBSP_None.txt,2458013,No,No,2023arXiv230303424Z,Unknown
2017egm,2017egm_2017-06-22_03-50-16_P200_DBSP_None.txt,2457926.6599074,No,No,2023NatAs.tmp...90L,Unknown
2017egm,2017egm_2018-01-08_00-00-00_Keck1_MOSFIRE_None.dat,2458126.5,No,No,2023NatAs.tmp...90L,Unknown
2017egm,2017egm_2017-06-24_21-51-12_NOT_ALFOSC_None.txt,2457929.4105556,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2017-06-17_22-19-12_NOT_ALFOSC_None.txt,2457922.43,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2018-01-13_11-23-51_Keck1_LRIS_None.txt,2458131.9748958,No,No,2023NatAs.tmp...90L,Unknown
2017egm,2017egm_2458056.97_P200_DBSP_None.txt,2458056.97,No,No,,Unknown
2017egm,2017egm_2017-05-31_12-58-02_XLT_BFOSC_None.txt,2457905.0403009,No,No,2023NatAs.tmp...90L,Unknown
PS1-14bj,PS1-14bj_2014-03-08_07-40-48_MMT_MMT-Blue_None.flm,2456724.82,No,No,2016ApJ...831..144L,Unknown
PS1-14bj,PS1-14bj_2014-05-03_23-45-36_Gemini-S_GMOS-S_None.flm,2456781.49,No,No,2016ApJ...831..144L,Unknown
PS1-14bj,PS1-14bj_2015-01-15_06-28-48_Magellan-Baade_IMACS_None.flm,2457037.77,No,No,2016ApJ...831..144L,Unknown
PS1-14bj,PS1-14bj_2014-03-28_08-38-24_Gemini-N_GMOS_None.flm,2456744.86,No,No,2016ApJ...831..144L,Unknown
PS1-14bj,PS1-14bj_2014-06-27_23-45-36_Magellan-Clay_LDSS-3_None.flm,2456836.49,No,No,2016ApJ...831..144L,Unknown
PS1-14bj,PS1-14bj_2014-04-27_08-09-36_Gemini-N_GMOS_None.flm,2456774.84,No,No,2016ApJ...831..144L,Unknown
PS1-14bj,PS1-14bj_2015-03-28_07-40-48_Gemini-N_GMOS_None.flm,2457109.82,No,No,2016ApJ...831..144L,Unknown
PS1-14bj,PS1-14bj_2014-06-25_23-45-36_Magellan-Clay_LDSS-3_None.flm,2456834.49,No,No,2016ApJ...831..144L,Unknown
PS1-14bj,PS1-14bj_2014-12-19_07-12-00_Magellan-Baade_IMACS_None.flm,2457010.8,No,No,2016ApJ...831..144L,Unknown
PS1-14bj,PS1-14bj_2014-04-28_04-48-00_MMT_MMT-Blue_None.flm,2456775.7,No,No,2016ApJ...831..144L,Unknown
iPTF16bad,iPTF16bad_2017-03-29_14-16-48_Keck1_LRIS_iPTF.ascii,2457842.095,No,No,iPTF,Unknown
iPTF16bad,iPTF16bad_2016-09-30_05-20-27_Keck1_LRIS_iPTF.ascii,2457661.7225347,No,No,iPTF,Unknown
iPTF16bad,iPTF16bad_2016-06-04_11-16-52_Keck2_DEIMOS_iPTF.ascii,2457543.9700463,No,No,iPTF,Unknown
iPTF16bad,iPTF16bad_2016-06-07_11-48-27_Keck1_LRIS_iPTF.ascii,2457546.9919792,No,No,iPTF,Unknown
iPTF13ajg,iPTF13ajg_2013-05-08_00-00-00_VLT-UT2_X-Shooter_iPTF.dat,2456420.5,No,No,iPTF,Unknown
iPTF13ajg,iPTF13ajg_2013-04-08_00-00-00_Keck2_DEIMOS_iPTF_0.dat,2456390.5,No,No,iPTF,Unknown
iPTF13ajg,iPTF_13ajg_2013-05-10_12-56-09_Keck1_LRIS_UCB-SNDB_0.flm,2456423.0389931,No,No,UCB-SNDB,Unknown
iPTF13ajg,iPTF13ajg_2013-06-06_00-00-00_Keck2_DEIMOS_iPTF_1.dat,2456449.5,No,No,iPTF,Unknown
iPTF13ajg,iPTF_13ajg_2013-04-08_14-25-26_Keck2_DEIMOS_UCB-SNDB_0.flm,2456391.1009954,No,No,UCB-SNDB,Unknown
iPTF13ajg,iPTF13ajg_2013-07-12_00-00-00_Keck2_DEIMOS_iPTF_0.dat,2456485.5,No,No,iPTF,Unknown
iPTF13ajg,iPTF13ajg_2013-09-09_00-00-00_Keck1_LRIS_iPTF.dat,2456544.5,No,No,iPTF,Unknown
iPTF13ajg,iPTF13ajg_2013-04-17_00-00-00_VLT-UT2_X-Shooter_iPTF.dat,2456399.5,No,No,iPTF,Unknown
iPTF13ajg,iPTF13ajg_2013-06-10_00-00-00_Keck2_DEIMOS_iPTF_0.dat,2456453.5,No,No,iPTF,Unknown
iPTF13ajg,iPTF_13ajg_2013-06-10_00-00-00_Keck2_DEIMOS_UCB-SNDB_0.flm,2456453.5,No,No,UCB-SNDB,Unknown
iPTF13ajg,iPTF13ajg_2013-04-09_00-00-00_Keck1_LRIS_iPTF.dat,2456391.5,No,No,iPTF,Unknown
iPTF13ajg,iPTF13ajg_2013-05-10_00-00-00_Keck1_LRIS_iPTF.dat,2456422.5,No,No,iPTF,Unknown
2009jh,SN2009jh_2014-04-29_10-42-09_Keck1_LRIS_None.spec,2456776.9459375,No,No,2016ApJ...830...13P,Unknown
2009jh,2009jh_2009-08-25_00-00-00_Keck1_LRIS_PTF.dat,2455068.5,No,No,PTF,Unknown
2009jh,2009jh_2009-08-25_00-00-00_Keck1_LRIS_PTF_0.dat,2455068.5,No,Yes,PTF,Rest
2009jh,2009jh_2009-09-23_00-00-00_Keck1_LRIS_PTF_0.dat,2455097.5,No,Yes,PTF,Rest
2009jh,2009jh_2009-10-17_00-00-00_Keck1_LRIS_PTF.dat,2455121.5,No,Yes,PTF,Rest
2009jh,2009jh_2010-02-11_00-00-00_Keck1_LRIS_PTF.dat,2455238.5,No,Yes,PTF,Rest
2009jh,2009jh_2009-12-19_00-00-00_Keck1_LRIS_PTF_0.dat,2455184.5,No,Yes,PTF,Rest
2009jh,2009jh_2011-06-02_00-00-00_Keck1_LRIS_PTF_0.dat,2455714.5,No,Yes,PTF,Rest
