SN_name,spectra_file,obs_date,dereddening,smoothing,source,frame
2010gx,SN2010gx_2011-03-26_00-00-00_Keck1_LRIS_PTF.dat,2455646.5,No,Yes,PTF,Rest
2010gx,SN2010gx_2010-03-18_00-00-00_P200_DBSP_PTF.dat,2455273.5,No,No,PTF,Unknown
2010gx,2010gx_2010-04-01_00-00-00_WHT-4.2m_ISIS_None.ascii,2455287.5,No,No,2010ApJ...724L..16P,Unknown
2010gx,2010gx_2010-04-09_00-00-00_Gemini-S_GMOS-S_None.ascii,2455295.5,No,No,2010ApJ...724L..16P,Unknown
2010gx,2010gx_2010-04-22_00-00-00_Gemini-S_GMOS-S_None.ascii,2455308.5,No,No,2010ApJ...724L..16P,Unknown
2010gx,SN2010gx_2014-11-19_15-22-40_Keck1_LRIS_None.spec,2456981.1407407,No,No,2016ApJ...830...13P,Unknown
2010gx,SN2010gx_2010-05-07_00-00-00_P200_DBSP_PTF_0.dat,2455323.5,No,Yes,PTF,Rest
2010gx,SN2010gx_2010-04-08_00-00-00_P200_DBSP_PTF_1.dat,2455294.5,No,Yes,PTF,Rest
2010gx,2010gx_2010-06-05_00-00-00_Gemini-S_GMOS-S_None.ascii,2455352.5,No,No,2010ApJ...724L..16P,Unknown
2010gx,2010gx_2010-03-22_00-00-00_Gemini-S_GMOS-S_None.ascii,2455277.5,No,No,2010ApJ...724L..16P,Unknown
2010gx,SN2010gx_2010-03-18_00-00-00_P200_DBSP_PTF_1.dat,2455273.5,No,Yes,PTF,Rest
2010gx,2010gx_2010-03-21_00-00-00_NOT_ALFOSC_None.ascii,2455276.5,No,No,2010ApJ...724L..16P,Unknown
2010gx,SN2010gx_2010-06-17_00-00-00_Keck1_LRIS_PTF_0.dat,2455364.5,No,Yes,PTF,Rest
2010md,SN2010md_2010-08-28_00-00-00_WHT-4.2m_ISIS_None.ascii,2455436.5,No,No,2013ApJ...770..128I,Unknown
2010md,2010md_2010-06-11_00-00-00_Lick-3m_KAST_PTF_0.dat,2455358.5,No,Yes,PTF,Rest
2010md,2010md_2011-06-01_00-00-00_Keck2_DEIMOS_PTF_0.dat,2455713.5,No,Yes,PTF,Rest
2010md,2010md_2010-09-05_00-00-00_P200_DBSP_PTF_0.dat,2455444.5,No,Yes,PTF,Rest
2010md,2010md_2010-07-19_00-00-00_Lick-3m_KAST_PTF_0.dat,2455396.5,No,Yes,PTF,Rest
2010md,SN2010md_2011-06-01_00-00-00_Keck2_DEIMOS_None.spec,2455713.5,No,No,2016ApJ...830...13P,Unknown
2010md,SN_2010md_2010-07-19_08-41-16_Lick-3m_KAST_UCB-SNDB_0.flm,2455396.8619907,No,No,UCB-SNDB,Unknown
2010md,2010md_2010-11-01_00-00-00_Keck1_LRIS_PTF_0.dat,2455501.5,No,Yes,PTF,Rest
2010md,SN2010md_2010-09-11_00-00-00_VLT-UT1_FORS1_None.ascii,2455450.5,No,No,2013ApJ...770..128I,Unknown
2010md,2010md_2010-10-03_00-00-00_Keck1_LRIS_PTF_0.dat,2455472.5,No,Yes,PTF,Rest
2010md,SN2010md_2010-07-20_00-00-00_TNG_NICS_None.ascii,2455397.5,No,No,2013ApJ...770..128I,Unknown
2010md,SN_2010md_2010-06-11_08-47-02_Lick-3m_KAST_UCB-SNDB_0.flm,2455358.8659954,No,No,UCB-SNDB,Unknown
2010md,2010md_2010-05-21_00-00-00_P200_DBSP_PTF_0.dat,2455337.5,No,Yes,PTF,Rest
